variable,importancia
cat__thal_7.0,0.16738914494514825
cat__cp_4.0,0.12872253513867493
cat__thal_3.0,0.1265365571915795
num__thalach,0.09715105268756079
num__ca,0.09143934853104767
num__oldpeak,0.07522896951174761
cat__exang_0.0,0.05369732964978374
cat__exang_1.0,0.048005755747270305
cat__slope_1.0,0.038130241008063115
cat__sex_0.0,0.0358972658158148
num__age,0.024038769692308778
num__chol,0.02188597790451573
cat__slope_2.0,0.02068368164756637
num__trestbps,0.016893820646678576
cat__cp_3.0,0.01567920091361772
cat__sex_1.0,0.011920757157518254
cat__cp_1.0,0.010454471347685042
cat__restecg_2.0,0.005714074470357853
cat__restecg_0.0,0.003925669756954926
cat__fbs_1.0,0.0019950893821769826
cat__cp_2.0,0.0016579836497906525
cat__thal_6.0,0.0012714212771018634
cat__fbs_0.0,0.0012437094499335275
cat__slope_3.0,0.0004371724771030094
cat__restecg_1.0,0.0
